"row","colum","cor","p","rowtype","coltype"
"CADM1","DAG(18:0/18:0)",0.612020905923345,2.11891432955191e-05,"proteins","lipids"
"CSTA","DAG(18:0/18:0)",0.705400696864111,2.60429029674825e-07,"proteins","lipids"
"CADM1","DAG(18:0/18:1)",0.600348432055749,3.3344387406542e-05,"proteins","lipids"
"GAPDH","DAG(18:1/18:3)",0.608362369337979,2.44720574369417e-05,"proteins","lipids"
"HMGB1","DAG(18:1/18:3)",0.630662020905923,9.88239245769407e-06,"proteins","lipids"
"GAPDH","MAG(16:1)",0.738850174216028,3.47621482710281e-08,"proteins","lipids"
"GAPDH","TAG(48:2)",0.670034843205575,1.65430461329663e-06,"proteins","lipids"
"GAPDH","TAG(52:6)",0.685191637630662,7.72863348652564e-07,"proteins","lipids"
"KNG1","FFA(14:0)",0.648780487804878,4.48149347498372e-06,"proteins","lipids"
"CADM1","FFA(14:0)",0.624738675958188,1.2660440348089e-05,"proteins","lipids"
"KNG1","FFA(16:0)",0.658188153310104,2.91100298888125e-06,"proteins","lipids"
"GAPDH","FFA(16:1)",0.62595818815331,1.2035944474853e-05,"proteins","lipids"
"S100A9","FFA(16:1)",0.6198606271777,1.54667481928605e-05,"proteins","lipids"
"SPRR1A","FFA(16:1)",0.643031358885017,5.7918559619452e-06,"proteins","lipids"
"KNG1","FFA(18:0)",0.609581881533101,2.33294518547922e-05,"proteins","lipids"
"KNG1","FFA(22:5)",0.68780487804878,6.74732055783167e-07,"proteins","lipids"
"KRT13","FFA(22:5)",0.610801393728223,2.22357787811323e-05,"proteins","lipids"
"ALDOB","FFA(22:5)",0.635017421602787,8.209465797826e-06,"proteins","lipids"
